Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds	genus	Priority
GCF_005870125.1	lonStrDom2	Lonchura striata					Mets1	male	GCF_005870125.1-RS_2024_09	Chromosome	2019-06-05	SWKX01	2014	Lonchura	1_Low
GCF_000146605.3	Turkey_5.1	Meleagris gallopavo	Aviagen turkey brand Nicholas breeding stock				NT-WF06-2002-E0010	female	NCBI Meleagris gallopavo Annotation Release 103	Chromosome	2019-10-21	ADDD02	187694	Meleagris	1_Low
GCF_012275295.1	bMelUnd1.mat.Z	Melopsittacus undulatus					bMelUnd1	female	GCF_012275295.1-RS_2024_11	Chromosome	2020-04-13	JAAVWG01	864	Melopsittacus	1_Low
GCF_028018845.1	bMelGeo1.pri	Melospiza georgiana					bMelGeo1	female	GCF_028018845.1-RS_2023_07	Chromosome	2023-01-31	JAQMCQ01	40	Melospiza	1_Low
GCF_037042795.1	BPBGC_Maene_1.0	Molothrus aeneus					106	female	GCF_037042795.1-RS_2024_07	Chromosome	2024-03-07	JAXHEC01	527	Molothrus	1_Low
GCF_015832195.1	Motacilla_alba_V1.0_pri	Motacilla alba alba					MOTALB_02	male	NCBI Motacilla alba alba Annotation Release 100	Chromosome	2020-12-08	JACXWE01	618	Motacilla	1_Low
GCF_002078875.1	NumMel1.0	Numida meleagris	g44 Domestic line				19003	male	NCBI Numida meleagris Annotation Release 100	Chromosome	2017-06-01	MTSP01	2738	Numida	1_Low
GCF_013368605.1	bNycGra1.pri	Nyctibius grandis					bNycGra1	female	GCF_013368605.1-RS_2024_09	Chromosome	2020-06-23	JABXNV01	190	Nyctibius	1_Low
GCF_029582105.1	OMel1.0	Oenanthe melanoleuca					GR-GAL-2019-014	male	GCF_029582105.1-RS_2023_05	Chromosome	2023-04-06	JARJVX01	587	Oenanthe	1_Low
GCF_011077185.1	BPBGC_Ojam_1.0	Oxyura jamaicensis	ruddy duck				SHBP4307	female	NCBI Oxyura jamaicensis Annotation Release 100	Chromosome	2020-03-10	JAACYN01	9642	Oxyura	1_Low
GCF_001522545.3	Parus_major1.1	Parus major					Abel	male	NCBI Parus major Annotation Release 102	Chromosome	2019-01-15	JRXK01	1674	Parus	1_Low
GCF_036417665.1	bPasDom1.hap1	Passer domesticus					bPasDom1	female	GCF_036417665.1-RS_2024_04	Chromosome	2024-02-07	JAZGKA01	334	Passer	1_Low
GCF_036971685.1	bPatFas1.hap2	Patagioenas fasciata					bPatFas1	female	GCF_036971685.1-RS_2024_06	Chromosome	2024-03-06	JBAMBT01	452	Patagioenas	1_Low
GCF_032191515.1	BPBGC_Pcur_1.0	Phaenicophaeus curvirostris					KB17595	female	GCF_032191515.1-RS_2024_11	Chromosome	2023-09-29	JASZXW01	587	Phaenicophaeus	1_Low
GCF_963921805.1	bPhaCar2.1	Phalacrocorax carbo							GCF_963921805.1-RS_2024_04	Chromosome	2024-02-09	CAWUGV01	350	Phalacrocorax	1_Low
GCF_030490865.1	bPoeAtr1.hap1	Poecile atricapillus					bPoeAtr1	female	GCF_030490865.1-RS_2023_08	Chromosome	2023-07-18	JAUKOI01	306	Poecile	1_Low
GCF_015220805.1	bPogPus1.pri	Pogoniulus pusillus					bPogPus1	female	GCF_015220805.1-RS_2024_03	Chromosome	2020-11-03	JADCQK01	252	Pogoniulus	1_Low
GCF_021018805.1	Cam_Psub_1.2	Prinia subflava				Zambia	CZ2003	female	GCF_021018805.1-RS_2024_02	Chromosome	2024-01-26	JAIOWR02	538	Prinia	1_Low
GCF_036250125.1	bDixPip1.hap1	Pseudopipra pipra					bDixPip1	female	GCF_036250125.1-RS_2024_04	Chromosome	2024-01-31	JAZAVG01	696	Pseudopipra	1_Low
GCF_028389875.1	bPtePen1.pri	Rhea pennata					bPtePen1	male	GCF_028389875.1-RS_2023_12	Chromosome	2023-02-06	JAQOLV01	179	Rhea	1_Low
GCF_028500815.1	bRisTri1.patW.cur.20221130	Rissa tridactyla					bRisTri1	female	GCF_028500815.1-RS_2023_03	Chromosome	2023-02-09	JAPUFG01	716	Rissa	1_Low
GCF_022539315.1	serCan2020	Serinus canaria					serCan28SL12	female	GCF_022539315.1-RS_2023_02	Chromosome	2022-08-25	JAKSEN01	684	Serinus	1_Low
GCF_004027225.2	bStrHab1.2.pri	Strigops habroptila					Jane	female	NCBI Strigops habroptila Annotation Release 101	Chromosome	2020-03-04	RXXE02	89	Strigops	1_Low
GCF_040807025.1	bStrCam1.hap1	Struthio camelus					bStrCam1	female	GCF_040807025.1-RS_2024_10	Chromosome	2024-07-22	JBFMIB01	262	Struthio	1_Low
GCF_009819655.1	bSylAtr1.pri	Sylvia atricapilla					bSylAtr1	female	GCF_009819655.1-RS_2024_07	Chromosome	2019-12-31	WNMY01	189	Sylvia	1_Low
GCF_026979565.1	bVidCha1 merged haplotype	Vidua chalybeata					OUT-0048	female	GCF_026979565.1-RS_2023_03	Chromosome	2022-12-21	JAPVQZ01	177	Vidua	1_Low
GCF_028769735.1	RI_Zleu_2.0	Zonotrichia leucophrys gambelii					GWCS_2022_RI	female	GCF_028769735.1-RS_2024_04	Chromosome	2023-12-27	JAPPSN02	3792	Zonotrichia	1_Low
